ID,Variable 1,Dependency,Variable 2
1,Impulsivity,->,PCLRfacet3
2,Intelligence,->,AbilityToCope
3,AbilityToCope,->,Stress
4,FinancialDifficulties,->,Stress
5,ProblematicLifeEvents,->,Stress
6,Victimisation,->,ProblematicLifeEvents
7,GangMember,->,Victimisation
8,Victimisation,->,ViolentThoughts
9,AngerPT,->,ViolentThoughts
10,ViolentThoughts,->,AggressionDL
11,AngerPT,->,BPD
12,BPD,->,Impulsivity
13,Impulsivity,->,AggressionDL
14,ASPD,->,Impulsivity
15,AbuseNeglectAsChild,->,BPD
16,AbuseNeglectAsChild,->,ASPD
17,ASPD,->,PCLRfactor2
18,AngerPT,->,ASPD
19,Violence,->,prioracq
20,Violence,->,Age
21,Violence,->,Gender
22,Violence,->,PriorViolentConvictions
23,Violence,->,pclrscore
24,TimeAtRisk,->,ViolentConvictions
25,Education,->,EmploymentOrTraining
26,Education,->,Intelligence
27,Intelligence,->,ResponsivenessToTreatment
28,EmploymentOrTraining,->,FinancialDifficulties
29,EmploymentOrTraining,->,DomesticStability
30,FinancialDifficulties,->,LivingCircumstances
31,AnxietyPT,->,FinancialDifficulties
32,DepressionPT,->,FinancialDifficulties
33,LivingCircumstances,->,DomesticStability
34,LivingCircumstances,->,SocialWithdraw
35,LivingCircumstances,->,CriminalNetwork
36,SocialWithdraw,->,DomesticStability
37,DepressionPT,->,SocialWithdraw
38,SocialWithdraw,->,CriminalNetwork
39,CriminalFamilyBackground,->,CriminalNetwork
40,CriminalNetwork,->,GangMember
41,CriminalNetwork,->,NegativeAttitude
42,CriminalNetwork,->,CriminalAttitude
43,GangMember,->,NegativeAttitude
44,GangMember,->,CriminalAttitude
45,ComplianceWithSupervision,->,NegativeAttitude
46,ComplianceWithSupervision,->,CriminalAttitude
47,NegativeAttitude,->,AttitudeDL
48,CriminalAttitude,->,AttitudeDL
49,SymptomsOfMentalIllness,->,ParanoidDelusions
50,SymptomsOfMentalIllness,->,StrangeExperiences
51,SymptomsOfMentalIllness,->,Hallucinations
52,SymptomsOfMentalIllness,->,ThoughtInsertion
53,SymptomsOfMentalIllness,->,Anxiety
54,SymptomsOfMentalIllness,->,Depression
55,ResponsivenessToTreatment,->,ParanoidDelusionsPT
56,ResponsivenessToTreatment,->,StrangeExperiencesPT
57,ResponsivenessToTreatment,->,HallucinationsPT
58,ResponsivenessToTreatment,->,ThoughtInsertionPT
59,ResponsivenessToTreatment,->,AnxietyPT
60,ResponsivenessToTreatment,->,DepressionPT
61,ResponsivenessToTreatment,->,PCLRfactor1
62,ResponsivenessToTreatment,->,AngerPT
63,RefuseFailToAttendTherapy,->,PsychiatricTreatmentGivenRFAT
64,RefuseFailToAttendTherapy,->,AngerManagementGivenRFAT
65,RefuseFailToAttendTherapy,->,DrugTreatmentGivenRFAT
66,RefuseFailToAttendTherapy,->,AlcoholTreatmentGivenRFAT
67,HazardousDrinkingAfterRelease,->,HazardousDrinkingPT
68,HazardousDrinkingAfterRelease,->,AlcoholDependence
69,CannabisBeforePrisonSentence,->,CannabisDuringPrisonSentence
70,CannabisBeforePrisonSentence,->,CannabisAfterRelease
71,CocaineBeforePrisonSentence,->,CocaineDuringPrisonSentence
72,CocaineBeforePrisonSentence,->,CocaineAfterRelease
73,EcstasyBeforePrisonSentence,->,EcstasyDuringPrisonSentence
74,EcstasyBeforePrisonSentence,->,EcstasyAfterRelease
75,EcstasyDuringPrisonSentence,->,EcstasyAfterRelease
76,EcstasyDuringPrisonSentence,->,EcstasyDependence
77,CannabisDuringPrisonSentence,->,CannabisAfterRelease
78,CannabisDuringPrisonSentence,->,CannabisDependence
79,CocaineDuringPrisonSentence,->,CocaineDependence
80,CocaineDuringPrisonSentence,->,CocaineAfterRelease
81,CannabisAfterRelease,->,CannabisPT
82,CocaineAfterRelease,->,CocainePT
83,EcstasyAfterRelease,->,EcstasyPT
84,EcstasyDependence,->,AnyDrugDependence
85,CannabisDependence,->,AnyDrugDependence
86,CocaineDependence,->,AnyDrugDependence
87,AnyDrugDependence,->,ResponseToTreatGivenDrugDep
88,AlcoholDependence,->,ResponseToTreatGivenAlcDep
89,DrugTreatment,->,DrugTreatmentGivenRFAT
90,AlcoholTreatment,->,AlcoholTreatmentGivenRFAT
91,AlcoholTreatmentGivenRFAT,->,HazardousDrinkingPT
92,DrugTreatmentGivenRFAT,->,EcstasyPT
93,DrugTreatmentGivenRFAT,->,CannabisPT
94,DrugTreatmentGivenRFAT,->,CocainePT
95,HazardousDrinkingPT,->,SubstanceUse
96,EcstasyPT,->,SubstanceUse
97,CannabisPT,->,SubstanceUse
98,CocainePT,->,SubstanceUse
99,ResponseToTreatGivenAlcDep,->,HazardousDrinkingPT
100,ResponseToTreatGivenDrugDep,->,EcstasyPT
101,ResponseToTreatGivenDrugDep,->,CannabisPT
102,ResponseToTreatGivenDrugDep,->,CocainePT
103,SubstanceUse,->,SubstanceMisuseDL
104,SubstanceMisuseDL,->,ViolentConvictionsRate
105,ViolentConvictions,->,Violence
106,ViolentConvRateGivenProt,->,ViolentConvictions
107,ResponsivenessToTreatment,->,ResponseToTreatGivenAlcDep
108,ResponsivenessToTreatment,->,ResponseToTreatGivenDrugDep
109,Anger,->,AngerPT
110,AngerManagementGivenRFAT,->,AngerPT
111,AngerManagement,->,AngerManagementGivenRFAT
112,AttitudeDL,->,ViolentConvictionsRate
113,AggressionDL,->,ViolentConvictionsRate
114,MentalIllnessDL,->,ViolentConvictionsRate
115,LivingCircumstances,->,SocialProtectiveObs
116,SocialWithdraw,->,SocialProtectiveObs
117,SocialProtectiveObs,->,ViolentConvRateGivenProt
118,ViolentConvictionsRate,->,ViolentConvRateGivenProt
